mode,time,filtered_x,filtered_y,gt_x,gt_y,position_error,yaw_error_rad
odom,198.09,-0.0006062463483121296,1.217087533471018e-08,-0.000639519115436471,-0.0003252808920648498,0.000326990296230817,5.466574105985319e-05
odom,198.15,3.581859049965527e-05,8.7172023703355e-10,-0.00013222711056481984,-0.000334170581257176,0.000374045341678367,0.00025081469555745297
odom,198.23,0.0144323365265015,-7.833930710164166e-08,0.009588839841550012,-0.0013042596933798833,0.005016009284425934,0.004357619140433367
odom,198.29,0.02994972529148582,2.529875959179965e-07,0.01869800053094739,-0.00200445681757655,0.01142891821170614,0.006435495862414907
odom,198.35,0.04508823806730844,2.185164741739545e-07,0.03869146955788949,-0.002198055885525463,0.006763952816924492,0.006584660436375939
odom,198.43,0.06511732823511274,-1.0591122687059584e-07,0.05870970299900513,-0.0023255042188461417,0.006816534196751427,0.006568066367919394
odom,198.49,0.08012122341071544,-3.5405434892236707e-07,0.06871313856026529,-0.002390986332652556,0.01165587931668553,0.006563617836210785
odom,198.55,0.09512535199170634,-5.954246409689537e-07,0.08872153257629556,-0.002526689152049233,0.0068840433340329465,0.006560583164358444
odom,198.63,0.11513158944573722,-8.99354062508718e-07,0.10873026049136403,-0.0026561983026565095,0.006930196598113286,0.006573354241285659
odom,198.69,0.13012959828430548,-9.81962697756769e-07,0.11875517124049395,-0.0027108013106564854,0.01169276320950538,0.006592731976486578
odom,198.75,0.14511355413083668,-2.8256263029971686e-07,0.13929740623887543,-0.0029763949124870237,0.006533362152837924,0.00692905930320663
odom,198.83,0.16509011633897883,2.2303933814100587e-06,0.16014933920798047,-0.003290530180763973,0.00593747007207974,0.0072337951887816694
odom,198.89,0.18007472696589702,5.459744940644449e-06,0.17067020081244788,-0.003451043079609306,0.010019606975676772,0.007381250531196742
odom,198.95,0.19503528469032597,9.841384241673779e-06,0.19186452823796252,-0.003751737967792934,0.004919672316512304,0.00782037446030038
odom,199.03,0.21496820935628683,1.741296097979543e-05,0.21331723272415637,-0.004001998286504271,0.0043452722142855735,0.00793085594995189
odom,199.09,0.22991991848883267,2.441822188841431e-05,0.22426005097756363,-0.004154192648731847,0.007035260411184835,0.008182425929660349
odom,199.15,0.2448472997645438,3.216823252527189e-05,0.24658943114818488,-0.004463961208656109,0.004821846296775245,0.007842487080812135
odom,199.23,0.26483390389055655,4.280730548147866e-05,0.2693353908425875,-0.004597098495275009,0.006464681787930372,0.006842637333504447
odom,199.29,0.2798958324856195,5.075734645135975e-05,0.2806178099303285,-0.004610252595792286,0.004716594652115297,0.006656012830573968
odom,199.35,0.2950574997974796,5.864705258325296e-05,0.30094579493937523,-0.004631892266902415,0.007528159056881901,0.00626560448879983
odom,199.43,0.3151050879102086,6.81460203391933e-05,0.31921310347500853,-0.004838454573720341,0.006399259431392357,0.006307930039298737
odom,199.49,0.3301346674704431,7.379596222876008e-05,0.32826776420494763,-0.0049176751692963094,0.005329175532816111,0.005971881839094893
odom,199.55,0.3451826861542498,7.810052327847573e-05,0.3465269204824768,-0.004992125008556503,0.005245393490755024,0.0058466233298736184
odom,199.63,0.36517965893589865,8.384030211983108e-05,0.3654721434845083,-0.0051958469663926365,0.005287782603744979,0.005993633296833474
odom,199.69,0.38017017082959065,8.813592069226733e-05,0.37510075051628355,-0.005218859231464812,0.007339156617622309,0.006073188869426874
odom,199.75,0.39516785140635585,9.257995370581468e-05,0.39456875077051556,-0.00532000035163005,0.005445635604185604,0.00607575264903625
odom,199.83,0.41517572363965183,9.857764091684747e-05,0.4140480904131145,-0.00550447777851959,0.005715399087278767,0.006054105988128493
odom,199.89,0.4301865347439684,0.00010231936502192204,0.4238770132715546,-0.005659668612963742,0.008544622090490738,0.005938749561813832
odom,199.95,0.44516952519269987,0.0001058544815673068,0.443490220932655,-0.005800763369091744,0.006140700060378212,0.006233749337728519
odom,200.03,0.4651623792323507,0.00011116735723525393,0.4633821700093552,-0.005886991928641283,0.006256761118692732,0.006245397079164424
odom,200.09,0.48016901841642123,0.00011538449098432007,0.4733642138723866,-0.0059836187945006,0.00913800886182928,0.006190896039694108
odom,200.15,0.4951664572135014,0.00011963710712242773,0.49334894269795715,-0.006128544296321703,0.006507159892346205,0.006197722146497297
odom,200.23,0.5151647256773374,0.00012524972103832092,0.5133483629115467,-0.006249925032449255,0.006628878248576911,0.006205354238232932
odom,200.29,0.53016541376006,0.0001294245097824954,0.5233494506149281,-0.006309772484073495,0.009376599144758198,0.006206330928586079
odom,200.35,0.5451674176579984,0.00013358067890869655,0.5433535363130044,-0.006428946253781653,0.006808592018619066,0.006207009655902027
odom,200.43,0.5651719558734326,0.00013910481207297202,0.5633598816386831,-0.0065478174743249795,0.0069280980576611785,0.006206440178597032
odom,200.49,0.5801766396752899,0.00014324013256386745,0.5733638269050969,-0.0066071918303789445,0.009590763761454261,0.0062058615379578415
odom,200.55,0.5951822530785418,0.00014737113601807846,0.5933730370214256,-0.006725985231981646,0.007107481305135403,0.0062047977799533985
odom,200.63,0.6151881487015847,0.0001528952628402137,0.6133868308587038,-0.006831724396229255,0.007213158652971707,0.006196376435382652
odom,200.69,0.6301879318536633,0.00015709542340873193,0.6234016013549333,-0.00690117869498641,0.00979150219161492,0.0061642491887771295
odom,200.75,0.6451814162140322,0.00016129157697012485,0.6438800906718392,-0.006981303625136714,0.007260173165147217,0.006011000126529234
odom,200.83,0.6651867992753386,0.00016608516214968304,0.6643838815237704,-0.007113240500852047,0.007323473153075597,0.006267885955640649
odom,200.89,0.6801785565247846,0.000170517847754903,0.6747003374754472,-0.007313503697357948,0.009274775600532708,0.0066529975661895596
odom,200.95,0.6951728235565606,0.0001760967431059119,0.695399724209234,-0.007503062875156452,0.007682511070537742,0.006249302546121698
odom,201.03,0.7151361614795672,0.0001839396462766676,0.7166271979626639,-0.007623049757501388,0.007948098725143547,0.0061897937699628165
odom,201.09,0.7301165177176858,0.00018970217386840183,0.7273260950638631,-0.007662784072186124,0.008333546593824404,0.006289924014491969
odom,201.15,0.7450470177266147,0.00019543882977269091,0.7492970977863243,-0.00782911906089101,0.009080567705521136,0.006253724012616888
odom,201.23,0.7649630479914366,0.0002045599389771054,0.7720053300743812,-0.008037761056738812,0.010841106600904857,0.007261897006786061
odom,201.29,0.7799226318599863,0.00021298389960927255,0.7835162994279807,-0.008117582507919607,0.009072639266470556,0.007309952950785539
odom,201.35,0.7949681959376023,0.00022163500440962683,0.8064146393319032,-0.008191363461036882,0.014205618943169634,0.006898219459919794
odom,201.43,0.815208646604876,0.00023384074761180194,0.8268264712591584,-0.008263562334255958,0.01439373852872796,0.006614786193017072
odom,201.49,0.8302507107940251,0.00024331062594601027,0.8362021950151624,-0.008344746707096284,0.010448679016510504,0.0065933076943231325
odom,201.55,0.8452811595504238,0.00025153609379094854,0.8543895299331377,-0.00859879645498074,0.012700031387856732,0.0057809377609068955
odom,201.63,0.8652749150581851,0.00026030999366491073,0.8730331051412907,-0.00877839828886895,0.011911664903880766,0.006013596284036014
odom,201.69,0.8802750955814388,0.00026673426138624313,0.8824531569634262,-0.008832945158405714,0.009356715071363994,0.006135620485285422
odom,201.75,0.895300846847793,0.0002733037984771888,0.9015118736754566,-0.00894225410902827,0.011113206638974348,0.0062024983561076346
odom,201.83,0.9152989620743661,0.00028165102242841135,0.9208915216919609,-0.009130881009598912,0.010948629244352552,0.006137902982218453
odom,201.89,0.9303165921192733,0.000287606820343622,0.9305922232539787,-0.0092025498730135,0.009494158550755825,0.006208995568551774
odom,201.95,0.9453399733351633,0.00029369556093388643,0.9501152308155048,-0.009366069396126608,0.010775627268480062,0.0063324948950744435
odom,202.03,0.9653625132164884,0.0003020977820490971,0.9698479049721005,-0.009516005245681303,0.010794159822072403,0.006397398603726458
odom,202.09,0.9803678636773285,0.0003085709613103831,0.9797562806707285,-0.009581723195123626,0.009909185247776663,0.006447760644048776
odom,202.15,0.9953749131841264,0.00031515204842366663,0.9995758640047718,-0.009733212286263004,0.010891171360330555,0.006541448576641954
odom,202.23,1.0153728241855902,0.0003241179375411413,1.0194671956291916,-0.009888024223097425,0.011002350886391095,0.006609681750832496
odom,202.29,1.0303678521852055,0.0003309210485666435,1.029438064114225,-0.009966540466813889,0.010339352954497736,0.006625741217561691
odom,202.35,1.0453709566302987,0.00033777276212731624,1.0494266097937963,-0.010123948181229636,0.01122033545306298,0.006639180135948836
odom,202.43,1.0653696345102572,0.00034689882449448934,1.0694778838884327,-0.010281375181242947,0.011394644412806968,0.0066118486534623875
odom,202.49,1.0803646536871403,0.0003536956125248409,1.0795273697012417,-0.010359355131660308,0.010745720111771391,0.006580319429076371
odom,202.55,1.0953684247107314,0.00036042313526778565,1.0996765260871655,-0.0105130023454576,0.011695773559475304,0.006512987056266089
odom,202.63,1.1153569555625962,0.00036934470521928094,1.1197836117227888,-0.01064689502319327,0.011872355390335428,0.006524452192126373
odom,202.69,1.1303621493471543,0.0003761375832211602,1.129849482449825,-0.010664793492386693,0.011052827075637272,0.006459596874322266
odom,202.75,1.1453598232241433,0.00038304802014928256,1.1501074427512243,-0.010870363521673365,0.012213892193054115,0.006498788934913672
